Date, Open, High, Low, Close, Shares Traded, Turnover
30-JUL-2013,1864.7,1867.1,1805.5,1807.75,180228227,1705.73
31-JUL-2013,1797.2,1836.95,1759.25,1830,210555341,1915.79
01-AUG-2013,1838.2,1853,1767.3,1785.1,208273785,1742.12
02-AUG-2013,1788.55,1793.1,1722.5,1746.35,197944132,1790.4
05-AUG-2013,1754.45,1763.65,1727.4,1759.65,159998178,1370.9
06-AUG-2013,1748.45,1748.45,1703.15,1712.6,205184116,1614.19
07-AUG-2013,1712.9,1759.45,1709.3,1745.5,233462802,1554.32
08-AUG-2013,1746.1,1772.2,1737.85,1769.45,166456381,1357.71
12-AUG-2013,1785.1,1813.25,1771.45,1802.15,158337686,1506.1
13-AUG-2013,1801.55,1842.55,1796,1840.65,150934371,1381.19
14-AUG-2013,1845.85,1862.6,1838.55,1851.35,163707823,1370.46
16-AUG-2013,1842.2,1842.2,1762.15,1768.25,165056855,1483.64
19-AUG-2013,1762.4,1767.05,1724.2,1751.1,164683934,1465.69
20-AUG-2013,1734.45,1769.1,1721.85,1763.1,167236405,1445.39
21-AUG-2013,1784.55,1797.5,1705.95,1712.35,177833477,1469.06
22-AUG-2013,1701.45,1764.65,1694.6,1761.1,164055180,1470.19
23-AUG-2013,1774.35,1786.1,1757.6,1783.45,150512599,1484.1
26-AUG-2013,1794.2,1809.15,1781.6,1793.65,145203681,1349.93
27-AUG-2013,1784.85,1791.5,1736.8,1742.75,143057756,1203.44
28-AUG-2013,1722.4,1746.3,1692.3,1739.05,182391702,1369.05
29-AUG-2013,1746.25,1768.6,1732.6,1765.95,279265411,2076.56
30-AUG-2013,1767.75,1791.8,1746.1,1769.55,172723030,1513.9
02-SEP-2013,1772.5,1808.95,1772.5,1807.2,141216175,1197.42
03-SEP-2013,1818.75,1821.6,1750.55,1756.9,172989677,1590.4
04-SEP-2013,1762.9,1788.15,1754.7,1783.2,139123585,1204.05
05-SEP-2013,1807.35,1824.65,1803.8,1817.15,190432467,1513.36
06-SEP-2013,1824.75,1828.7,1806.55,1821.9,164621361,1350.69
10-SEP-2013,1839.9,1851.95,1830.55,1843.7,166022012,1429.11
11-SEP-2013,1840.75,1881.45,1840.15,1876.95,232378510,1865.08
12-SEP-2013,1888.65,1893.85,1846.85,1859.5,226140653,1849.26
13-SEP-2013,1858.55,1888.2,1858.55,1877.1,193647422,1628.3
16-SEP-2013,1903.95,1905.75,1848.7,1864.1,181444687,1545.52
17-SEP-2013,1862,1870.4,1849.65,1868.6,104465893,1031.02
18-SEP-2013,1872.55,1879.65,1862.8,1874.55,108227363,899.33
19-SEP-2013,1910.5,1951.35,1902.65,1945.55,229595970,2170.87
20-SEP-2013,1947.7,1955,1891.65,1931.9,249234524,2203.02
23-SEP-2013,1915.1,1936.25,1901.85,1905.9,157698040,1514.77
24-SEP-2013,1900.95,1929.05,1900.65,1916.05,148661148,1316.11
25-SEP-2013,1917.05,1927.85,1895.9,1922.1,165918212,1358.08
26-SEP-2013,1920.95,1927.3,1911.7,1915,191676239,1518.6
27-SEP-2013,1921.55,1933.45,1907.3,1910.55,121168916,1205.28
30-SEP-2013,1896.6,1897.95,1874.75,1884.35,112571162,1078
01-OCT-2013,1886.05,1910.75,1872.2,1908.15,120662347,1160.47
03-OCT-2013,1914.45,1956,1913.25,1953.35,139347277,1352.75
04-OCT-2013,1946.1,1967.05,1940.7,1952.7,148627181,1334.21
07-OCT-2013,1950.65,1976.4,1943.7,1975,108818941,1170.88
08-OCT-2013,1988.7,1996.8,1972.9,1977.2,121934024,1180.97
09-OCT-2013,1966.4,1999.35,1962.6,1996.45,152008248,1307.71
10-OCT-2013,1999.95,2011.7,1994.3,1999.2,122795221,1123.81
11-OCT-2013,2015.75,2018.6,1995.25,2003.5,156252839,1118.89
14-OCT-2013,2005.1,2019.2,2004.95,2015.45,148382425,1298.32
15-OCT-2013,2025.8,2030.15,1979.6,1986,156366867,1345.92
17-OCT-2013,1985.65,2002.6,1977.4,1981.2,132068751,1175.15
18-OCT-2013,1985.35,2025,1985.35,2022.25,131389253,1118.72
21-OCT-2013,2024.8,2055.3,2024.8,2053.6,167048940,1415.91
22-OCT-2013,2049.05,2070.45,2049.05,2066.7,153900136,1422.38
23-OCT-2013,2073.65,2080.25,2031.7,2054.4,145582166,1346.62
24-OCT-2013,2053.15,2081.05,2049.75,2053.55,164519059,1427.21
25-OCT-2013,2048.6,2056.55,2024.45,2027.35,103718998,1016
28-OCT-2013,2029.85,2036.15,2005,2007,108667202,932.27
29-OCT-2013,2006.6,2045.9,1990.4,2043.1,134639617,1305.45
30-OCT-2013,2051.1,2056.45,2039.8,2046.5,112532687,1319.49
31-OCT-2013,2045.35,2090.05,2045.05,2084.45,219396261,2050.4
01-NOV-2013,2081.85,2127.7,2081.85,2125.3,264276836,2314.75
03-NOV-2013,2132.2,2142.1,2132.2,2136.6,38541770,306.26
05-NOV-2013,2123.25,2173.5,2114.7,2156.2,210704522,2021.42
06-NOV-2013,2158.85,2174.8,2142.05,2147,177071498,1675.56
07-NOV-2013,2147.75,2166.4,2104.15,2107.55,187301918,1598.72
08-NOV-2013,2103.3,2125,2101.2,2115.45,152390391,1551.73
11-NOV-2013,2111.2,2126.75,2092.95,2098,175367903,1736.01
12-NOV-2013,2101.05,2106.55,2065.15,2068.1,170642326,1643.21
13-NOV-2013,2062.95,2092.15,2051.3,2058.65,155411720,1678.06
14-NOV-2013,2074.7,2103.55,2074.7,2097.55,130614734,1262.76
18-NOV-2013,2111.2,2134.3,2111.2,2132.75,131296557,1226.42
19-NOV-2013,2130,2144.85,2124.6,2138.45,150126729,1394.8
20-NOV-2013,2136.95,2155.65,2114.55,2122.2,160685811,1429.36
21-NOV-2013,2115.2,2119.6,2081.05,2086.25,145723193,1216.22
22-NOV-2013,2097.95,2109.9,2073.9,2084.25,132952344,1105.66
25-NOV-2013,2096.95,2134.05,2096.95,2131.4,118041942,1177.29
26-NOV-2013,2126.35,2141.7,2115.55,2117.6,242738541,1399.58
27-NOV-2013,2120.35,2130.2,2106.5,2127.25,145059739,1172.99
28-NOV-2013,2139.2,2159.45,2138.8,2149.65,277914436,2334.69
29-NOV-2013,2152.85,2180.35,2152.85,2177.9,165160818,1552.28
02-DEC-2013,2184.05,2200.1,2183,2192.2,138685754,1288.02
03-DEC-2013,2186.95,2199.8,2180,2186.65,159695506,1487.32
